Song,Date,Number of Plays
nzdumnulg9,2020-12-06,834
2brr2p306m,2020-01-09,559
ewxj5qxkiy,2020-10-18,311
gscn9iyhrh,2020-05-01,392
n6wgg vifp,2020-09-04,353
yc9kbd6sg9,2020-04-22,526
9qo6u hnh8,2020-03-25,889
ifsw47ecim,2020-09-17,201
bct4349b5p,2020-05-25,646
64fk038qkj,2020-04-04,346
9g24e9noh6,2020-07-03,210
f0qy u4h2j,2020-07-08,180
soi394h5vq,2020-07-16,639
uddixhkyxz,2020-02-20,607
3rgmrt0y7k,2020-07-07,84
m yyu6u08r,2020-12-09,699
v5tlga7qld,2020-10-03,659
8bugf6w0oj,2020-04-16,393
9agf6klkky,2020-01-17,493
b3bhlayokl,2020-11-27,87
oe9avwfaww,2020-07-15,306
5xweuhezcq,2020-01-13,135
ofu2cnjr6b,2020-12-06,864
3 05h5y6go,2020-02-19,567
ngcovj7acq,2020-08-12,329
4bqi6wg0vh,2020-02-04,768
88grz z21t,2020-02-25,729
mo4pln9ekk,2020-05-27,707
bs3c7 6bh3,2020-12-17,690
m9nvli8m9c,2020-06-26,961
b7ktfox2bc,2020-03-25,879
 cxhb 93 n,2020-11-26,865
3ks3x 1pan,2020-12-14,340
19 q1h7rv3,2020-03-10,622
vf2l0mq2o0,2020-12-11,116
c2cpggprk3,2020-01-14,131
vuwxlaaeup,2020-08-11,276
g6a5grpilm,2020-06-20,573
dpkqgp2olq,2020-08-27,457
 damffx708,2020-11-16,981
8w7p8hr25o,2020-04-01,218
g 9xbeb  7,2020-11-22,999
7ei1doataw,2020-04-06,656
n0407 cb8d,2020-05-26,496
5o1ozg7wib,2020-08-04,392
75x 9i3co ,2020-07-04,556
s 74dm9xt9,2020-01-11,502
xw8m0trmvy,2020-07-08,167
wduc0fdoe7,2020-11-09,84
802dvcp4qo,2020-06-24,355
zp95fo6lm8,2020-02-12,636
9z3e8m7ut2,2020-05-23,383
wzxswsmw5h,2020-07-05,238
ufhtxyndw2,2020-11-06,442
lo3w1yts66,2020-07-04,261
lzp w05fp3,2020-01-25,663
mfgd2epz 0,2020-02-02,278
llwlsmtiu ,2020-03-18,799
7d3o5k3s2q,2020-10-27,503
12mht0y9da,2020-07-20,413
odtvkmehzk,2020-08-12,415
m7evfexyze,2020-10-10,656
it9fl4uysm,2020-12-26,911
myzz9xrgw9,2020-07-02,791
hboa7hhv1f,2020-01-05,683
sha8n5ixsj,2020-09-05,200
2stc0lcli6,2020-01-12,797
 0phdp4 xc,2020-06-18,428
yzcbdqljb9,2020-05-23,137
lk203004r3,2020-07-08,100
982dghmiov,2020-10-22,641
zeicli4xaz,2020-08-08,88
yt16ac2msd,2020-08-25,264
ec2g84ja78,2020-04-05,604
0qp3gftya6,2020-03-15,979
t 924fpqn8,2020-04-11,808
j2nh9tmu4x,2020-09-03,466
f v fc5wi0,2020-07-15,228
glzwijnsa4,2020-04-18,604
pyanqj807q,2020-06-04,620
63pagvhs2l,2020-01-14,684
doli6e2ggl,2020-09-03,200
yun9xnjh7s,2020-10-19,347
 1qieohzxh,2020-04-21,488
9zf82hiy8f,2020-10-26,329
ymi15opst3,2020-12-17,864
95hjewgt5m,2020-01-22,295
arykgjtr9s,2020-07-24,88
z9q26rgnx3,2020-02-21,234
eocrqjtgjg,2020-08-19,273
zr map1179,2020-04-05,507
48l2lgcqqn,2020-01-27,775
xaiovpshc2,2020-07-26,875
qz60x0awf0,2020-10-07,572
u081uzr7um,2020-05-04,320
lw1atl918i,2020-01-23,383
mr2i1uq3hu,2020-04-12,57
fppgncku76,2020-07-09,226
9 ddgv1ig4,2020-07-11,778
shvrw5t05 ,2020-08-02,313
ox txsjiuy,2020-03-20,434
1mfpsuzdo8,2020-08-18,75
ptyzv7 xjn,2020-12-14,565
1nyl21lk2c,2020-07-17,477
i5q5xe 6tl,2020-06-08,932
8lrl1h2wek,2020-09-09,286
zrq0sya6cl,2020-09-10,775
ekm3 l8 zl,2020-11-28,437
tljifm8dw9,2020-08-02,546
tsbr5prxsb,2020-05-07,562
zp95fo6lm8,2020-10-16,965
6meypw62l ,2020-04-07,542
9jmemhwcv8,2020-01-06,475
2lq6r9t2pt,2020-03-09,410
ymvr7n8oyv,2020-03-22,856
idf11937hc,2020-08-15,907
yfmoe9l3h4,2020-05-03,766
mgmevajk1x,2020-05-16,216
78bqqol2qg,2020-11-02,646
pzx90eqxth,2020-01-25,770
xsxiayq n2,2020-02-16,258
amu f51jsp,2020-10-28,740
c2tkvhwoa0,2020-03-05,931
4lkqyzcycn,2020-09-05,198
pu1c5 nhrx,2020-07-25,108
3drwriffga,2020-02-22,104
oj2uim2cjy,2020-08-26,237
tpc4bzkpo2,2020-02-19,307
s yex2v6wa,2020-11-18,473
cxlubpr98i,2020-09-11,643
lml6phbn4 ,2020-03-05,827
um4kyqo84j,2020-01-25,928
204seyk3h6,2020-07-20,139
lei2n0kv41,2020-10-24,498
e0aipv7z q,2020-02-03,66
hylufgqrcx,2020-10-24,78
9rufnthmhi,2020-06-23,807
 5nd4jj6pr,2020-09-21,52
2bjajf3l9p,2020-05-17,790
0d43wmd8uh,2020-08-11,346
pl39ipgvsu,2020-04-03,290
u0hy uz005,2020-04-12,186
xn9vmuwti6,2020-01-17,122
oiddoboxyy,2020-03-13,734
210xvq5vd4,2020-10-19,565
m90inju62p,2020-03-07,930
c847h1sxbd,2020-11-13,283
xncxs7e49s,2020-03-22,651
bptmhik0c3,2020-10-11,141
y569igm1 0,2020-09-25,303
3ze5k9cn1j,2020-10-17,73
lhj9u olt8,2020-05-08,339
4j723jvtqc,2020-01-25,404
rhnz4zdxm3,2020-07-07,973
h1h1yijsel,2020-08-07,433
thdi5 sogc,2020-11-11,938
et1 nlr5m2,2020-04-17,347
wkl2 fmh46,2020-04-06,242
doqcdba91f,2020-09-12,591
jmmtm9v4pe,2020-01-23,777
6pnoz30g5v,2020-12-28,901
37k25n lln,2020-03-06,384
13vir4 hcv,2020-05-06,312
mfso3l3lm8,2020-05-18,740
25hj 6xak9,2020-01-06,480
y2slt6534u,2020-12-01,682
qgvn1ep2op,2020-06-12,985
y5xy q2o00,2020-07-18,794
jvtoh  c3 ,2020-05-19,374
ijh79uzc3x,2020-02-21,311
eybypcvavt,2020-08-23,651
jjwhgks032,2020-04-10,440
aiwtg3ylhu,2020-04-23,707
qvse9blb7n,2020-01-02,311
zz8eb4zu4m,2020-03-10,440
g26bcm1g45,2020-06-15,765
 edzhp6zyu,2020-06-19,807
xnaj8j112x,2020-08-19,266
jgqzl0aaso,2020-11-08,105
c84q te0vz,2020-11-10,741
dm 5e5z8hb,2020-08-02,574
zzs1bwy9ls,2020-11-05,465
uzht7cqshw,2020-11-28,471
hexmp6buky,2020-07-21,274
qx0en4 3xp,2020-04-16,679
yma2cuvc w,2020-05-24,963
lsh tv4u5o,2020-04-15,648
q2bbc2gzkz,2020-10-24,135
y7rl735ksr,2020-04-21,628
m1q j05f8t,2020-04-05,821
padbnbt lp,2020-05-20,75
yzviea22g4,2020-12-06,471
 o71dl q3c,2020-07-18,485
zfmup5bf6a,2020-04-21,975
fxoxuika1j,2020-01-23,583
174lj9d13n,2020-11-14,960
vaiwpahxz8,2020-12-26,432
dunwjsdxt3,2020-05-15,582
b ibozn1v2,2020-07-26,103
k9uhnzpwtg,2020-11-09,468
p0vhf8uu09,2020-12-21,749
ypmjmkcdlk,2020-04-12,987
bjfds8zo b,2020-09-13,551
e s01952it,2020-11-05,939
jx6of50qop,2020-07-16,908
616hgv369v,2020-10-13,371
d4sfyhl206,2020-12-08,726
6rylj9i 2f,2020-01-04,650
cswt9fgjwt,2020-06-09,117
gloy1f16iu,2020-05-24,663
r9gmincc o,2020-12-14,512
3ftjcn8til,2020-05-04,585
d788zy1o c,2020-07-13,554
8l89c9oszv,2020-07-06,801
9h9bm85giw,2020-05-14,934
6hyp7lmbva,2020-10-19,317
wh7nn1new6,2020-10-18,313
8fnmglva2d,2020-06-14,542
qy4ffrj1ew,2020-03-24,192
q4h2zmb9qq,2020-11-07,230
n gty07bab,2020-01-24,74
p 984qrquf,2020-10-07,956
hh3q4mpfdu,2020-10-19,683
8vlhfexh c,2020-11-13,108
3uqor3dhke,2020-03-03,446
pnne18g01j,2020-07-19,836
b0 op68zpu,2020-05-26,281
bzj19c8gst,2020-11-28,880
cdhuwsf597,2020-06-22,490
0v2ohj41xj,2020-01-18,744
8a0d6nprnl,2020-01-15,342
1mw0ieyhnt,2020-01-25,615
q2ek82pe 9,2020-03-13,224
ur72ewpltb,2020-05-26,259
4nqesr2rli,2020-08-24,79
hp n3xyyex,2020-05-28,794
9e3aci4qm0,2020-09-28,955
5oc4t4blh1,2020-09-16,531
peu9wzlc5p,2020-06-14,54
0mr3h72yk6,2020-04-21,57
5cuwb6yirs,2020-08-17,549
j74tywsenq,2020-07-24,896
2 eve13wjs,2020-01-01,882
2yx5h25e3a,2020-07-04,313
odfculo1nf,2020-07-22,988
s06auqyl33,2020-04-15,625
hdyujmgvrs,2020-10-19,300
gf6nprlqja,2020-06-13,880
luvf f6ei7,2020-07-13,234
o226yng pn,2020-12-24,917
2dytpg9gwu,2020-02-07,661
xwlqrtdw7o,2020-02-28,250
m6k4a1wb6p,2020-04-23,270
iujkxxt33n,2020-05-15,644
wd2ctq01wr,2020-12-06,999
ru8qotychc,2020-02-08,289
xl  bbibjq,2020-10-21,711
5 fidbob1b,2020-02-09,820
2n6 3a0wb2,2020-06-26,224
z2flh1904n,2020-03-17,354
amu f51jsp,2020-08-20,768
d6z4blih2r,2020-08-12,761
hpuczq4m15,2020-01-08,139
ucubzn2p2h,2020-10-07,696
lfapdew9z7,2020-11-13,379
ismeas8z37,2020-10-11,767
0i9ln0ryqz,2020-01-14,197
ccgmntrdev,2020-04-19,61
duhwtcgsu2,2020-11-21,895
ggmfedws81,2020-07-09,692
99ozgwgn7f,2020-06-14,379
nhi8io nz4,2020-12-18,275
5ddammx0wv,2020-12-03,294
2z9qx2zm49,2020-02-16,562
u2iojdypzg,2020-08-02,241
ng o4cym4s,2020-03-18,197
uuf2gm359f,2020-10-16,912
n4ahirch2e,2020-06-03,316
fx9msmddn7,2020-09-17,182
 pzjz2bb8x,2020-12-02,606
if62a47a08,2020-07-16,349
w6c1uf0ex9,2020-09-02,740
pux0t3adq0,2020-09-23,574
8vbfvuj7ix,2020-03-24,525
6n02tez5xa,2020-10-06,185
rbx07fucug,2020-04-22,90
bex6fd4i9v,2020-12-03,514
7dchh pclg,2020-09-18,958
p7mvzbf33j,2020-08-10,544
r 32 0y6g2,2020-05-03,460
d3lclc8qjz,2020-01-14,881
arke8l55tz,2020-05-16,176
4yl47u27j8,2020-11-14,735
v1plxp1dej,2020-04-24,556
qqlhz99u9t,2020-09-10,337
hqeon39ny0,2020-02-25,867
d xjjws5ro,2020-04-12,559
w48 x x6hx,2020-02-03,645
ggafz5im2u,2020-04-19,294
s p3wnf6  ,2020-11-15,369
xy92edbn1l,2020-06-07,297
9rfb38gg6d,2020-01-03,102
r2 qduo8g2,2020-09-24,537
xml8j3tot2,2020-05-25,961
2n36yfjpjv,2020-01-09,950
w661vmusp5,2020-10-05,361
32zg1f 8xy,2020-03-06,92
npeaavl9kw,2020-05-27,98
cnj8j6cnx8,2020-12-17,981
 tawd6voxq,2020-07-28,962
19kiqp9 d9,2020-06-18,517
yc8ttjeuvp,2020-08-07,857
2bx9l1ipr3,2020-10-22,405
yq9br4vq z,2020-02-08,612
doa48a030b,2020-10-13,189
x7h4e1ok17,2020-01-23,290
lr277e9g3t,2020-07-17,419
24o3fgvcgz,2020-03-22,378
qvi0qrptxe,2020-09-03,84
m8 2clv9s1,2020-01-06,448
ibxid6 sm0,2020-02-15,801
q61fsvlumu,2020-11-02,734
mnrm00q0xc,2020-11-07,936
e7m1mj vhi,2020-03-14,993
pjzhxwd1ia,2020-02-22,190
e6sy6sqnal,2020-02-18,351
5kzm38w3xx,2020-10-22,217
9dpdcvjofw,2020-08-01,500
t018pdznpo,2020-05-03,720
xwo88jmnan,2020-08-13,800
ecy7l1i03b,2020-01-23,204
ww5 apuhlj,2020-09-01,912
ac67gvhbnz,2020-07-21,719
7n9jd01g7r,2020-12-17,934
109f7xh8pt,2020-10-25,588
kbrz4534uk,2020-10-14,512
3pdkqim67d,2020-05-20,698
uzl6n t20f,2020-04-03,771
hsbsrre23w,2020-02-23,896
fppojjqwd6,2020-07-28,230
zhhigzneoz,2020-11-25,298
mcagkhzvbo,2020-08-16,170
2aqmm ukc5,2020-03-21,649
b76rnbckrm,2020-12-27,783
02f8dinsc2,2020-09-24,436
iva75u9vr1,2020-05-08,620
a e7p7o qe,2020-12-12,90
yakv0pirfi,2020-06-06,564
tv8lr73kzx,2020-11-16,573
uj1y7l6hcs,2020-03-14,433
qpnj8l1snq,2020-11-16,305
7cu6c4leh ,2020-07-12,570
 5fpln7u8x,2020-08-14,228
ulgfsdv9kf,2020-01-19,727
65pchs1h78,2020-03-04,94
ythnuobv5f,2020-06-21,184
5i2zj0azla,2020-09-03,805
jiummi6huy,2020-03-22,659
1yrz9cmynt,2020-05-07,978
vx5jmzvg1k,2020-12-25,395
5lxn8f2nwj,2020-03-21,727
t4m8a5d6nt,2020-07-14,763
dzyx xf2qm,2020-02-27,454
qrtepv3ezr,2020-12-12,313
x wuyu3p d,2020-09-14,782
jiup5v2gul,2020-05-28,927
gw6mxp1u9r,2020-09-05,812
x1 96rs6dx,2020-05-07,625
2m4btfv7yp,2020-07-10,320
5swg9vbwo7,2020-12-03,914
bjmf1qaynl,2020-06-07,623
s369puocn6,2020-03-20,189
qfrenr44mx,2020-12-09,608
lfpyfq0a6i,2020-12-02,785
5vbv9qui7z,2020-10-13,54
oe r2irow ,2020-05-06,427
sy5wk8q8pi,2020-07-16,798
ri8u979f8p,2020-09-11,252
1hq5gfi8d9,2020-11-27,130
768z6xu sj,2020-03-08,828
rxkidum6v0,2020-09-19,99
cb7m4nyrjh,2020-03-19,893
7tsrkxpw o,2020-11-09,889
qruipfcqm0,2020-10-01,291
4 nxaz5xbn,2020-04-13,951
04i9mvafrv,2020-05-23,990
3k8nhq98cj,2020-11-19,221
0s9s6brt6m,2020-04-22,777
60ql2griqb,2020-03-22,370
ojtvrq7bjd,2020-11-20,177
dsshkpym05,2020-09-20,132
amptukgdgl,2020-10-04,951
jnbcu3shr6,2020-09-01,414
d8rbafl6s7,2020-04-20,336
59jdf 5muf,2020-08-12,689
1f 9m 2 vd,2020-01-25,279
kwkb49k ok,2020-04-09,143
3godx949h1,2020-05-15,723
rcx0ma6ecc,2020-11-01,243
1jdq9p 2y9,2020-11-06,790
1ahf1ep1u0,2020-08-12,929
sf3s1a25jw,2020-06-07,253
c2kcy4y6d0,2020-01-27,870
xkmbo9tp6h,2020-09-15,590
ep2vw2biy8,2020-04-26,434
6ga07gn850,2020-09-13,128
kg4rmtwgic,2020-02-06,313
ji v273bxl,2020-01-10,173
tf3l7uuxg9,2020-01-21,999
07ia04 mv2,2020-09-03,736
xjx95gc2y1,2020-10-18,332
1ftuys0sno,2020-09-13,571
vm9ag9e00w,2020-01-10,290
g pv140636,2020-03-20,875
iseclok4lb,2020-08-04,941
9nhm8d90l ,2020-10-16,798
cy7acuxdy6,2020-07-04,149
w2te cubcz,2020-12-17,954
s0 uq8a8u7,2020-04-13,836
32jkj5cmmz,2020-07-16,779
yiakrt4ww ,2020-07-06,464
i0 bpzixou,2020-08-25,896
13p9r29thf,2020-09-03,452
10s905ygtw,2020-02-11,511
ou6wq4g f4,2020-01-01,183
no 4kj3isv,2020-10-25,940
j1ay7axn7u,2020-09-24,506
hk3jo5byry,2020-06-23,617
wn0gfc5jkn,2020-10-19,858
b47v9cu34t,2020-08-25,223
ihbvdym23w,2020-03-20,176
jtii6hfnt8,2020-12-28,349
oot2hr1 ed,2020-06-28,161
1k1l4 lohk,2020-04-12,88
5ja2hd 8h2,2020-01-26,210
ahlgo65nko,2020-11-14,62
gj8fgd grw,2020-09-04,710
7y0jxho6k4,2020-01-06,760
 yf21m63n4,2020-12-28,663
18fxupip5i,2020-07-17,616
5k1xkca p ,2020-10-14,144
pl cut1ar2,2020-08-10,277
ea mz96sr ,2020-11-02,823
yyw17znou6,2020-10-16,572
8odcafzpbx,2020-06-22,928
mqh 9eve j,2020-04-07,559
fyrp8exhqc,2020-02-03,915
z4mdpxyh 5,2020-12-09,275
dor49a8vxc,2020-11-15,697
2o igy7t98,2020-06-26,194
ykq2pgpt91,2020-11-15,135
5k3hztox5u,2020-08-22,418
lhkf45o ns,2020-03-10,989
0bqb95t1b9,2020-08-11,951
ynd9dck1lt,2020-04-25,948
gtdbxg0ban,2020-10-15,609
tuelmm18nr,2020-10-13,785
qsby3e1z4f,2020-06-11,637
7sjxt8w54e,2020-01-05,103
s1rgvgtrat,2020-05-04,546
8r6iv7if7r,2020-07-21,455
gesk7wddth,2020-01-09,618
le5n1vjjcd,2020-09-07,609
d 0 u30h2s,2020-10-12,989
fg28226l15,2020-10-28,998
robmr 1xq2,2020-04-16,615
g319 yqj b,2020-08-09,589
vnj5n87rpc,2020-01-03,597
yck18v9zy4,2020-09-24,677
zxb251fpde,2020-02-17,636
 5c1bjny1z,2020-07-08,294
mtforhwweo,2020-03-06,990
uet4e1ty8d,2020-08-12,886
rd7rsfogj2,2020-10-19,765
pou m4lpm9,2020-09-13,421
wuy01hcmqz,2020-08-25,717
992uxsb38u,2020-03-17,55
wio4dqk ju,2020-11-05,201
e etkvajl9,2020-01-13,192
7z4z9nxsaw,2020-06-12,304
kmeco 2a04,2020-03-24,98
lyz19cuj4r,2020-03-14,180
ly4 zexcat,2020-10-04,467
m05va3vfya,2020-01-26,640
ryzk6573ui,2020-06-22,887
 31epmoiu2,2020-12-14,221
a5xque8kif,2020-05-01,498
ajt qxlq59,2020-02-05,541
ousx6eel00,2020-02-14,725
jil5p f9fv,2020-07-20,445
ohymjrun3s,2020-10-28,323
54frnvj6qi,2020-06-25,777
27k2kce9nc,2020-02-01,496
9rj8chcxsz,2020-06-11,668
uetx14p1ku,2020-01-15,420
rbych40e97,2020-09-04,859
22tmnd7rob,2020-11-05,617
nqnhakiigg,2020-10-09,276
qyaiy7996o,2020-12-18,790
t70vv1rchz,2020-04-10,649
jyn qrmc7x,2020-11-12,694
